ItemSK	WarehouseSK	CostCenterSK	IssueDateSK	Description
13321	3	13	20220502	برگشت به انبار جهت فروش به پروژه عراق - با هماهنگی آقای اویسی
21861	3	35	20220502	برگشت به انبار جهت ارسال به کارگاه 97 - پیرو درخواست شماره 384
5416	3	13	20220505	پیرو درخواست شماره 400 ارسال به کارگاه 
6649	3	46	20220507	ارسال به کارگاه گروه جهت تعمیر پیرو درخواست 416 (9عدد قطعه ماردون بروی شفت میباشدکه باخود شفت ارسال گردید)
13341	3	9	20220507	ارسال به کارگاه گروه جهت تعمیر پیرو درخواست 417 
14713	3	18	20220508	تحویلی از خانم خلیلی -  لپ تاپ HP  مدل 15-DR1007tx -  بهمراه آدابتور و کیف
480	3	18	20220508	تحویلی از خانم خلیلی -  لپ تاپ HP  مدل 15-DR1007tx -  بهمراه آدابتور و کیف
14657	3	12	20220508	ارسال به شرکت فروردین آزما تجهیز جهت تعمیر پیرو درخواست 402 
6649	3	46	20220508	ارسال نمونه شفت ماردون دستگاه اکسترودر DNDG جهت نقشه کزدن به کارگاه گروه پیرو درخواست 441 
18705	3	7	20220508	ارسال به کارگاه جهت تعمیر پیرو درخواست 446
19435	3	31	20220509	دریافتی از خانم حسین زاده مدل RALINK/RT3290
593	3	24	20220509	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 353 
16079	3	13	20220511	پیرو درخواست 470 ارسال به کارگاه گروه
12905	3	13	20220511	پیرو درخواست 475 جهت ارسال به کارگاه گروه
4735	3	13	20220511	برگشت به انبار جهت تحویل به پروژه چیپس
6649	3	46	20220512	برگشت به انبارشفت کامل دستگاه اکسترودر dndg جهت موجودی تحویلی از آقای آقاپور
6832	3	46	20220512	برگشت به انبارشفت کامل دستگاه اکسترودر dndg جهت موجودی تحویلی از آقای آقاپور
6845	3	46	20220512	برگشت به انبارشفت کامل دستگاه اکسترودر dndg جهت موجودی تحویلی از آقای آقاپور
6830	3	46	20220512	برگشت به انبارشفت کامل دستگاه اکسترودر dndg جهت موجودی تحویلی از آقای آقاپور
6807	3	46	20220512	برگشت به انبارشفت کامل دستگاه اکسترودر dndg جهت موجودی تحویلی از آقای آقاپور
6745	3	46	20220512	برگشت به انبارشفت کامل دستگاه اکسترودر dndg جهت موجودی تحویلی از آقای آقاپور
6808	3	46	20220512	برگشت به انبارشفت کامل دستگاه اکسترودر dndg جهت موجودی تحویلی از آقای آقاپور
6744	3	46	20220512	برگشت به انبارشفت کامل دستگاه اکسترودر dndg جهت موجودی تحویلی از آقای آقاپور
6741	3	46	20220512	برگشت به انبارشفت کامل دستگاه اکسترودر dndg جهت موجودی تحویلی از آقای آقاپور
6806	3	46	20220512	برگشت به انبارشفت کامل دستگاه اکسترودر dndg جهت موجودی تحویلی از آقای آقاپور
6742	3	46	20220512	برگشت به انبارشفت کامل دستگاه اکسترودر dndg جهت موجودی تحویلی از آقای آقاپور
5668	3	13	20220512	ارسال به تعمیر 72 عدد باتری لیفتراک در قالب 3 باکس باهماهنگی خانم تبرائی و آقای اویسی
2114	3	32	20220513	موجودی
2094	3	32	20220513	موجودی
2114	3	32	20220513	موجودی
2094	3	32	20220513	موجودی
1546	9	NULL	20220514	برگشت به انبار جهت پروژه TR -توزین 189
20419	3	13	20220514	ارسال به تعمیر پیرو درخواست 472 *
20059	3	6	20220622	ارسال به کارگاه جهت تعمیر پیرو درخواست 933 *
7427	3	6	20220623	ارسال به آنا الکتریک جهت تعمیر پیرو درخواست 924 *
16227	3	13	20220623	ارسال به آنا الکتریک جهت تعمیر پیرو درخواست 894*
11990	3	15	20220623	برگشت به انبارتخلیه در انبار ماشین آلات
16465	3	31	20220623	ویدیو پرژکتورمدل ( HITACHI - CP-X2530WN ) به همراه پایه تحویل دهنده مشرقیان به آقای سعید عباسی
11926	3	31	20220623	ویدیو پرژکتورمدل ( HITACHI - CP-X2530WN ) به همراه پایه تحویل دهنده مشرقیان به آقای سعید عباسی
7126	3	35	20220623	جهت ارسال امانی به کارگاه گروه
15285	3	31	20220623	برگشت به انبار جهت فروش به کارگاه 97 - با هماهنگی خانم تبرایی و آقای سعید عباسی
11409	3	31	20220623	برگشت به انبار جهت فروش به کارگاه 97 - با هماهنگی خانم تبرایی و آقای سعید عباسی
481	3	31	20220623	برگشت به انبار جهت فروش به کارگاه 97 - با هماهنگی خانم تبرایی و آقای سعید عباسی
15617	3	13	20220406	ارسال به تعمیر پیرو درخواست 4219 سال 1400 به آرمانسیس
12773	3	14	20220406	ارسال به تعمیر پیرو درخواست 34 به شرکت ماه رو*
593	3	22	20220406	ارسال به ماشینهای اداری امین جهت تعمیر پیرو درخواست 65*
19810	3	NULL	20220407	برگشت به انبار جهت مرجوع -پیرو رسید شماره 6448  سال 1400
19793	3	13	20220407	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 86
10946	3	2	20220407	برگشت به انبار جهت ارسال به کارگاه جهت تست - بدون درخواست - با هماهنگی آقای اویسی
2028	3	32	20220409	موجودی
969	3	34	20220411	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 14
11797	3	34	20220411	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 14
1899	3	40	20220411	برگشت به انبار جهت ارسال به شستشو - پیرو درخواست شماره 106
6036	3	46	20220411	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 113
539	3	46	20220411	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 114
7915	3	46	20220411	ارسال به تعمیر به شرکت پیشرو صنایع پیرو درخواست 3200 سال 1400 
6185	3	28	20220411	برگشت به انبار جهت فروش به پاک لایه سان - با هماهنگی آقای عربی و خانم اصحابی
6578	3	46	20220411	پیرو درخواست 132 ارسال ب کارگاه 
969	9	NULL	20220412	برگشت به انبار جهت برگشت امانی کالا
6109	3	46	20220412	پیرو درخواست 171 ارسال به کارگاه
891	3	40	20220412	پیرو درخواست 110 ارسال برای شارژ
894	3	40	20220412	پیرو درخواست 110 ارسال برای شارژ
895	3	40	20220412	پیرو درخواست 110 ارسال برای شارژ
4663	3	13	20220413	NULL
7375	3	13	20220413	پیرو درخواست 180 ارسال به کارگاه گروه 
20820	3	15	20220522	برگشت به انبار جهت ارسال به تعمیر- پیرو درخواست شماره 531
9179	3	32	20220522	برگشت به انبار جهت ارسال به تعمیر - پیرو درخواست شماره 79 - 602
21730	3	31	20220522	برگشت به انبار جهت فروش به پتروفیلم
482	3	31	20220522	برگشت به انبار جهت فروش به پتروفیلم
15697	3	31	20220522	برگشت به انبار جهت فروش به پتروفیلم
2706	3	31	20220522	برگشت به انبار جهت فروش به پتروفیلم
3431	3	6	20220523	پیرو درخواست 623 ارسال به کارگاه
13740	3	13	20220523	جهت ارسال به شارژ به انبار علی شاهی پیرو درخواست 624 *
17073	3	13	20220523	پیرو درخواست 625 ارسال به کارگاه
12898	3	13	20220524	تخلیه در انبار ماشین الات
16457	3	27	20220524	باز شده از واحد خرید
6109	3	6	20220524	پیرو درخاست 634 ارسال به کارگاه
1790	3	NULL	20220524	برگشت به انبار جهت موجودی
21856	3	NULL	20220524	برگشت به انبار جهت موجودی
18661	3	2	20220525	ارسال به تعمیر پیرو درخواست 606 *
5875	3	31	20220525	جهت ارسال امانی به شرکت پترو فیلم پیرو هماهنگی قبلی با خانم تبرائی
480	3	31	20220525	جهت ارسال امانی به شرکت پترو فیلم پیرو هماهنگی قبلی با خانم تبرائی
481	3	31	20220525	جهت ارسال امانی به شرکت پترو فیلم پیرو هماهنگی قبلی با خانم تبرائی
7553	3	13	20220526	پیرو درخواست 655 ارسال به کارگاه گروه صنعتی
502	3	31	20220712	برگشت به انبار جهت فروش به شرکت پاک لایه سان جهت آقای شاهرخ یوسف زاده * تحویل به پاک لایه سان توسط خانم حسین زاده*مارک ylink
592	3	33	20220713	جهت ارسال به تعمیر به سمند پیمای کویر ایرانیان پیرو درخواست 932
15759	3	29	20220713	
2099	3	32	20220713	
6649	3	46	20220713	ارسال به کارگاه گروه پیرو درخواست 1208 *
18140	3	46	20220713	ارسال به کارگاه گروه پیرو درخواست 1208 *
22284	3	46	20220713	ارسال به کارگاه گروه پیرو درخواست 1208 *
20150	3	13	20220713	پیرو درخواست 1201 جهت ارسال به کارگاه گروه
4621	3	13	20220713	پیرو درخواست 1205 جهت ارسال به کارگاه گروه
2873	3	13	20220713	پیرو درخواست 1198 جهت ارسال به تعمیر
16562	3	15	20220713	انتقال به انبار B2
16568	3	15	20220713	انتقال به انبار B2
